school_name,fac_schtype
Lockheed Elementary School,E
Marietta Sixth Grade Academy,M
Emily Lembeck Early Learning Center,E
Park Street Elementary School,E
Hickory Hills Elementary School,E
West Side Elementary School,E
Mountain Education Charter High School,H
Odyssey Charter School,E
Georgia Cyber Academy,K12
Utopian Academy for the Arts Charter School,M
Cherokee Charter Academy,E
Georgia Connections Academy,H
"Ivy Preparatory Academy, Inc",E
Foothills Charter High School (Central Office - Madison),H
International Charter School of Atlanta,E
Scintilla Charter Academy,E
Georgia School for Innovation and the Classics,E
Dubois Integrity Academy,E
Coastal Plains Charter High School - Candler Campus,H
Statesboro STEAM Academy,M
Pataula Charter Academy,K12
Fulton Leadership Academy,M
Atlanta Heights Charter School,E
Coweta Charter Academy,E
Cirrus Charter Academy,E
Southwest Georgia S.T.E.M. Charter Academy,E
Brookhaven Innovation Academy,E
Liberty Tech Charter Academy,E
Genesis Innovation Academy for Boys,E
Genesis Innovation Academy for Girls,E
Resurgence Hall Charter School,E
SAIL Charter Academy - School for Arts-Infused Learning,E
International Academy of Smyrna,E
International Charter Academy of Georgia,E
SLAM Academy of Atlanta,E
Pelham High School,H
Pelham City Middle School,M
Pelham Elementary School,E
Elm Street Elementary,E
West Central Elementary School,E
Rome High School,H
East Central Elementary School,E
Rome Middle School,M
Anna K. Davie Elementary,E
West End Elementary School,E
North Heights Elementary School,E
Social Circle Primary School,E
Social Circle Middle School,M
Social Circle Elementary School,E
Social Circle High School,H
MacIntyre Park Middle School,M
Scott Elementary School,E
Harper Elementary School,E
Thomasville High School,H
Jerger Elementary School,E
Trion Elementary School,E
Trion Middle School,M
Trion High School,H
Sallas Mahone Elementary,E
Valdosta Middle School,M
J. L. Lomax Elementary School,E
Pinevale Elementary School,E
Newbern Middle School,M
Valdosta High School,H
S.L. Mason Elementary School,E
W.G. Nunn Elementary,E
J. R. Trippe Middle School,M
Vidalia Comprehensive High School,H
J. D. Dickerson Primary School,E
Sally Dailey Meadows Elementary School,E
Atlanta Area School for the Deaf,K12
Georgia Academy for the Blind,K12
Georgia School for the Deaf,K12
Atlanta Youth Detention Center,H
Crisp RYDC,M
Augusta Youth Development Campus,H
Muscogee Youth Development Center,H
Rockdale RYDC,H
Macon Youth Development Campus,H
Eastman Youth Development Campus,H
Augusta Regional Youth Detention Center,H
Martha K. Glaze Regional Youth Detention Center,H
Claxton Regional Youth Detention Center,M
Aaron Cohn Regional Youth Detention Center,H
Elbert Shaw Regional Youth Detention Center,H
DeKalb Regional Youth Detention Center,H
Eastman Regional Youth Detention Center,H
Gainesville Regional Youth Detention Center,H
Macon Regional Youth Detention Center,H
Marietta Regional Youth Detention Center,H
Bob Richards Regional Youth Detention Center,H
Savannah Regional Youth Detention Center,H
T J Loftiss II Regional Youth Detention Center,H
Waycross Regional Youth Detention Center,H
Metro Regional Youth Detention Center,H
Millegeville ITU,H
Terrell Regional Youth Detention Center,M
Wilkes County Regional Detention Center,H
Sumter Youth Development Campus,H
