school_name,fac_schtype
Austin Elementary School,E
Redan High School,H
Eldridge L. Miller Elementary School,E
Panola Way Elementary School,E
Peachtree Middle School,M
Pine Ridge Elementary School,E
Browns Mill Elementary School,E
Chapel Hill Middle School,M
Marbut Elementary School,E
Cedar Grove Middle School,M
Freedom Middle School,M
Lithonia High School,H
Lithonia Middle School,M
Redan Middle School,M
Dunwoody Elementary School,E
Museum School Avondale Estates,E
Rockbridge Elementary School,E
Cedar Grove Elementary School,E
Stone Mountain High School,H
Kittredge Magnet School,E
Sequoyah Middle School,M
Salem Middle School,M
Shadow Rock Elementary School,E
"Edward L. Bouie, Sr. Elementary School",E
Columbia Middle School,M
Oakview Elementary,E
Wadsworth Magnet School for High Achievers,M
Leadership Preparatory Academy,E
GLOBE Academy Charter School I,E
Tapestry Public Charter School,H
Fairington Elementary School,E
Stephenson Middle School,M
Robert Shaw Theme School,E
Mary McLeod Bethune Middle School,M
Chamblee Middle School,M
Dekalb Early College Academy,H
Ronald E McNair Discover Learning Academy Elementary School,E
DeKalb School of the Arts,H
Bob Mathis Elementary School,E
Stephenson High School,H
DeKalb Alternative School,H
East DeKalb Special Education Center,K12
Stone Mountain Middle School,M
The Champion Middle Theme School,M
Margaret Harris Comprehensive School,K12
Stone Mill Elementary School,E
Miller Grove Middle School,M
Tucker Middle School,M
"Arabia Mountain High School - Academy of Engineering, Medicine and Environm",H
Woodridge Elementary School,E
DeKalb PATH Academy Charter School,M
UHS of Laurel Heights,H
Henderson Middle School,M
International Community School,E
Elizabeth Andrews High School,H
Druid Hills Middle School,M
DeKalb Academy of Technology and the Environment Charter School,E
DeKalb Elementary School of the Arts,E
Brockett Elementary School,E
Chapel Hill Elementary School,E
Columbia Elementary School,E
Dresden Elementary School,E
Evansdale Elementary School,E
McNair Middle School,M
Idlewood Elementary School,E
Livsey Elementary School,E
Tucker High School,H
Woodward Elementary School,E
Peachcrest Elementary School,E
John Robert Lewis Elementary School,E
Barack H. Obama Elementary Magnet School of Technology,E
Allgood Elementary School,E
Columbia High School,H
Druid Hills High School,H
Fernbank Elementary School,E
Henderson Mill Elementary School,E
Indian Creek Elementary School,E
McLendon Elementary School,E
Midvale Elementary School,E
Cary Reynolds Elementary School,E
Stone Mountain Elementary School,E
Ashford Park Elementary School,E
Briarlake Elementary School,E
Canby Lane Elementary School,E
Chesnut Elementary School,E
Dunaire Elementary School,E
Flat Shoals Elementary School,E
Hambrick Elementary School,E
Jolly Elementary School,E
Lakeside High School,H
Oak Grove Elementary School,E
Pleasantdale Elementary School,E
Rock Chapel Elementary School,E
Smoke Rise Elementary School,E
Toney Elementary School,E
McNair High School,H
Briar Vista Elementary School,E
Murphy Candler Elementary School,E
Clarkston High School,H
Cross Keys High School,H
Hightower Elementary School,E
Kelley Lake Elementary School,E
Laurel Ridge Elementary School,E
Montclair Elementary School,E
Oakcliff Elementary School,E
Rainbow Elementary School,E
Rowland Elementary School,E
Snapfinger Elementary School,E
Stoneview Elementary School,E
Towers High School,H
Coralwood Education Center,E
Avondale Elementary School,E
Chamblee Charter High School,H
Dunwoody High School,H
Hawthorne Elementary School,E
Huntley Hills Elementary School,E
Kingsley Elementary School,E
Montgomery Elementary School,E
Redan Elementary School,E
Sagamore Hills Elementary School,E
Southwest DeKalb High School,H
Dodge County High School,H
Dodge County Middle School,M
South Dodge Elementary School,E
North Dodge Elementary School,E
DAC (Dodge County Achievement Center),H
Dooly County Elementary School,E
Dooly County High School,H
Dooly County Middle School,M
Dooly County Prep Academy,H
Albany Middle School,M
Live Oak Elementary School,E
Robert A. Cross Middle Magnet,M
Robert H Harvey Elementary School,E
Radium Springs Middle School,M
Lamar Reese School of the Arts,E
Lincoln Elementary Magnet School,E
Alice Coachman Elementary School,E
"Martin Luther King, Jr. Elementary School",E
Monroe High School,H
Dougherty Comprehensive High School,H
Morningside Elementary School,E
Northside Elementary School,E
Turner Elementary School,E
Lake Park Elementary School,E
Merry Acres Middle School,M
Sherwood Acres Elementary School,E
Westover High School,H
International Studies Elementary Charter School,E
Radium Springs Elementary School,E
West Town Elementary School,E
Chapel Hill High School,H
Yeager Middle School,M
North Douglas Elementary School,E
Bill Arp Elementary School,E
Factory Shoals Middle School,M
Mason Creek Elementary School,E
Mason Creek Middle School,M
Lithia Springs Comprehensive High School,H
Arbor Station Elementary School,E
Fairplay Middle School,M
Dorsett Shoals Elementary School,E
Alexander High School,H
Chestnut Log Middle School,M
South Douglas Elementary School,E
Bright Star Elementary School,E
Holly Springs Elementary,E
New Manchester Elementary School,E
Chapel Hill Elementary School,E
New Manchester High School,H
Factory Shoals Elementary School,E
Sweetwater Elementary School,E
Mirror Lake Elementary School,E
Burnett Elementary School,E
Brighten Academy,E
Eastside Elementary School,E
Youth Villages at Inner Harbour,H
Winston Elementary School,E
Beulah Elementary School,E
Turner Middle School,M
Lithia Springs Elementary School,E
Chapel Hill Middle School,M
Douglas County High School,H
Mount Carmel Elementary School,E
Stewart Middle School,M
Annette Winn Elementary School,E
Early County Elementary School,E
Early County Middle School,M
Early County High School,H
Echols County Elementary/Middle School,E
Echols County High School,H
Springfield Elementary School,E
Marlow Elementary School,E
Blandford Elementary School,E
South Effingham Elementary School,E
Guyton Elementary School,E
Sand Hill Elementary School,E
South Effingham High School,H
Ebenezer Middle School,M
Effingham County Middle School,M
Ebenezer Elementary School,E
South Effingham Middle School,M
Effingham County High School,H
Rincon Elementary School,E
Elbert County Middle School,M
Paul J. Blackwell Learning Center,E
Elbert County High School,H
Elbert County Primary School,E
Elbert County Elementary School,E
Twin City Elementary School,E
Swainsboro High School,H
Swainsboro Middle School,M
Swainsboro Primary School,E
Swainsboro Elementary School,E
Emanuel County Institute,H
Claxton Elementary School,E
Second Chance,M
Claxton High School,H
Claxton Middle School,M
Fannin County High School,H
Fannin County Middle School,M
East Fannin Elementary School,E
West Fannin Elementary School,E
Blue Ridge Elementary School,E
Cleveland Elementary School,E
Sara Harp Minter Elementary School,E
Crabapple Lane Elementary School,E
Whitewater High School,H
Bennett's Mill Middle School,M
Inman Elementary,E
Booth Middle School,M
Huddleston Elementary School,E
North Fayette Elementary School,E
McIntosh High School,H
Oak Grove Elementary School,E
Braelinn Elementary School,E
Sandy Creek High School,H
Kedron Elementary School,E
Starrs Mill High School,H
Peeples Elementary School,E
Robert J. Burch Elementary School,E
Spring Hill Elementary School,E
Rising Starr Middle School,M
Whitewater Middle School,M
Fayette County High School,H
Fayetteville Elementary School,E
Flat Rock Middle School,M
Peachtree City Elementary School,E
Johnson Elementary,E
Coosa Middle School,M
Pepperell High School,H
Model High,H
McHenry Primary,E
Model Elementary School,E
Armuchee Elementary School,E
Pepperell Elementary,E
Model Middle School,M
Pepperell Middle School,M
Armuchee Middle School,M
Armuchee High School,H
Alto Park Elementary School,E
Garden Lakes Elementary School,E
Cave Spring Elementary School,E
Glenwood Primary School,E
Pepperell Primary,E
Coosa High School,H
Settles Bridge Elementary School,E
Matt Elementary School,E
Cumming Elementary School,E
Sharon Elementary School,E
Riverwatch Middle School,M
Shiloh Point Elementary,E
West Forsyth High School,H
Johns Creek Elementary,E
Mashburn Elementary School,E
Coal Mountain Elementary School,E
South Forsyth High School,H
Chattahoochee Elementary School,E
North Forsyth High School,H
Daves Creek Elementary School,E
Vickery Creek Elementary School,E
Vickery Creek Middle School,M
Otwell Middle School,M
Sawnee Elementary School,E
Chestatee Elementary,E
Little Mill Middle School,M
Brookwood Elementary,E
George W. Whitlow Elementary,E
Lambert High School,H
Haw Creek Elementary,E
Lakeside Middle School,M
Forsyth Virtual Academy,H
Liberty Middle School,M
Silver City Elementary School,E
Kelly Mill Elementary,E
Piney Grove Middle School,M
North Forsyth Middle School,M
South Forsyth Middle School,M
Brandywine Elementary School,E
DeSana Middle School,M
Alliance Academy for Innovation,H
Denmark High School,H
Big Creek Elementary School,E
Midway Elementary School,E
Forsyth Central High School,H
Franklin County Middle School,M
Carnesville Elementary Intermediate School,E
Royston Elementary School,E
Carnesville Elementary Primary School,E
Franklin County High School,H
Lavonia Elementary School,E
Summit Hill Elementary,E
Abbotts Hill Elementary School,E
Creek View Elementary School,E
Hembree Springs Elementary School,E
Spalding Drive Elementary,E
Hopewell Middle School,M
Milton High School,H
Renaissance Middle School,M
Renaissance ES,E
Feldwood Elementary School,E
Main Street Charter Academy,E
Hapeville Charter Career Academy,H
Cambridge High School,H
Jackson Elementary School,E
Banneker High School,H
Dolvin Elementary School,E
Crabapple Middle School,M
Camp Creek Middle School,M
Barnwell Elementary School,E
McNair Middle School,M
Lake Windward Elementary School,E
Roswell High School,H
Hapeville Elementary School,E
Crabapple Crossing Elementary School,E
New Prospect Elementary School,E
Northwood Elementary School,E
Centennial High School,H
Stonewall Tell Elementary School,E
Hillside Elementary School,E
Northview High School,H
KIPP South Fulton Academy School,M
Alpharetta High School,H
Oakley Elementary School,E
Dunwoody Springs Elementary School,E
Chattahoochee Hills Charter School,E
S. L. Lewis Elementary School,E
Nolan Elementary School,E
Gullatt Elementary School,E
Holcomb Bridge Middle School,M
Ridgeview Charter School,M
Woodland Middle School,M
Creekside High School,H
Palmetto Elementary School,E
Findley Oaks Elementary School,E
State Bridge Crossing Elementary School,E
Sweet Apple Elementary School,E
Manning Oaks Elementary School,E
Heritage Elementary School,E
Elkins Pointe Middle School,M
Cogburn Woods Elementary School,E
Autrey Mill Middle School,M
Georgia Baptist Children's Home and Family Ministries,H
Mountain Park Elementary School,E
McClarin High School,H
Haynes Bridge Middle School,M
Independence High School,H
Randolph Elementary School,E
Bear Creek Middle School,M
Chattahoochee High School,H
River Eves Elementary School,E
Shakerag Elementary School,E
River Trail Middle School,M
Wilson Creek Elementary School,E
Amana Academy School,E
Medlock Bridge Elementary School,E
Webb Bridge Middle School,M
Hamilton E. Holmes Elementary,E
Liberty Point Elementary School,E
